570.000	0.000
572.368	0.012
574.737	0.035
577.105	0.058
579.474	0.088
581.842	0.129
584.211	0.187
586.579	0.240
588.947	0.345
591.316	0.427
593.684	0.497
596.053	0.608
598.421	0.719
600.790	0.772
603.158	0.825
605.526	0.918
607.895	0.953
610.263	0.982
612.632	1.000
615.000	0.988
617.368	0.959
619.737	0.924
622.105	0.883
624.474	0.819
626.842	0.766
629.211	0.713
631.579	0.667
633.947	0.614
636.316	0.585
638.684	0.556
641.053	0.515
643.421	0.485
645.790	0.462
648.158	0.439
650.526	0.415
652.895	0.398
655.263	0.392
657.632	0.392
660.000	0.386
662.368	0.368
664.737	0.357
667.105	0.333
669.474	0.310
671.842	0.292
674.211	0.281
676.579	0.269
678.947	0.257
681.316	0.246
683.684	0.240
686.053	0.228
688.421	0.216
690.790	0.205
693.158	0.193
695.526	0.175
697.895	0.158
700.263	0.146
702.632	0.135
705.000	0.117
707.368	0.105
709.737	0.094
712.105	0.082
714.474	0.076
716.842	0.070
719.211	0.058
721.579	0.053
723.947	0.047
726.316	0.041
728.684	0.035
731.053	0.029
733.421	0.023
735.790	0.018
738.158	0.012
740.526	0.012
742.895	0.006
745.263	0.006
747.632	0.000
750.000	0.000
