0.001	0.13
0.10	13 
0.13	16 
0.17	20 
0.20	23 
0.24	27 
0.30	32 
0.34	36 
0.40	41
0.48	47 
0.60	56
0.72	65 
0.84	73 
1.00	85 
1.30	105 
1.70	131 
2.00	150 
2.40	176 
3.00	214 
3.40	241 
4.00	282
4.80	336 
6.00	417 
7.20	500 
8.40	582 
10.00	696 
13.00	920 
17.00	1275 
20.00	1567 
24.00	1980 
30.00	2663
34.00	3176 
40.00	4030
